Id;NombrePuesto;Ubicacion;Telefono;PuntoFeriaId;Dueno
1;Agrícola San Pedro;Alajuela;8888-0001;1;Carlos Pérez
2;Finca Los Volcanes;Cartago;8888-0002;2;María Rodríguez
3;Productores La Montaña;Heredia;8888-0003;3;José Ramírez
4;Huerta Santa María;San José;8888-0004;4;Ana Morales
5;Orgánicos del Valle;Puntarenas;8888-0005;5;Luis Vargas
6;El Buen Productor;Limón;8888-0006;6;Rafael Gómez
7;Finca Los Abuelos;Alajuela;8888-0007;1;Miguel Soto
8;Productores El Manantial;Cartago;8888-0008;2;Laura Jiménez
9;Agrícola El Progreso;Heredia;8888-0009;3;Andrés Molina
10;Huerta La Cascada;San José;8888-0010;4;Patricia López
11;EcoCampo CR;Puntarenas;8888-0011;5;Fernando Rojas
12;Frutas del Sol;Limón;8888-0012;6;Daniel Castro
13;Productores El Bosque;Alajuela;8888-0013;1;Juan Herrera
14;Agrícola Verde Vivo;Cartago;8888-0014;2;Sofía Vargas
15;Finca El Porvenir;Heredia;8888-0015;3;Luis Calderón
16;Huerta Las Brisas;San José;8888-0016;4;Mónica Salas
17;Orgánicos Pura Vida;Puntarenas;8888-0017;5;Ricardo Núñez
18;Finca Tierra Fértil;Limón;8888-0018;6;Esteban Mora
19;Productores Las Rosas;Alajuela;8888-0019;1;Rosa Fernández
20;Agrícola San Rafael;Cartago;8888-0020;2;Pedro Alvarado
21;Valle Verde CR;Heredia;8888-0021;3;Mariana Soto
22;EcoFinca La Esperanza;San José;8888-0022;4;Claudia Campos
23;Huerta Don Memo;Puntarenas;8888-0023;5;Guillermo Méndez
24;Los Productores del Mar;Limón;8888-0024;6;Óscar Quesada
25;Agrícola Las Lomas;Alajuela;8888-0025;1;Víctor Ramírez
26;Finca Mis Raíces;Cartago;8888-0026;2;Natalia Solís
27;Productores del Cerro;Heredia;8888-0027;3;Diego Pacheco
28;Huerta La Amistad;San José;8888-0028;4;Lucía Torres
29;Orgánicos del Pacífico;Puntarenas;8888-0029;5;Jorge Cordero
30;Finca Sol Naciente;Limón;8888-0030;6;Alejandro Arias
